headline_quote,best_body_sentence,best_body_quote,label,best_quote_sim,best_sim,quote_len,ctx_len,n_votes,majority_pred,easy_correct,easy_wrong,hard
Real risk to security,"Andrew O’Connor QC, for the Government, told the judge it was “in the interests of national security” to keep some material out of the public domain, adding: “This risk is assessed by security experts to be a very real one.” Andrew Ritchie QC, representing 20 families, said it is their view that “full and fearless” investigation is required to remain in keeping with the principle of “open justice”.",This risk is assessed by security experts to be a very real one.,0,0.8438,0.6326,4,181,1,0,False,False,True
"If you have alcohol, they will come.","“If you have alcohol, they will come,” he said.","If you have alcohol, they will come,",0,0.9915,0.8947,7,52,2,0,False,False,True
Get off your hiney and do something about it!,"Cllr Sims was confronted by Cllr Julia Davidson, a Liberal Democrat member for Gunthorpe, She yelled: “Stop sitting there as a councillor saying ‘there’s not a lot we can do.’ If it really bothered you as much as it bothers me, you’d get off your hiney and do something about it.” Cllr Davidson then walked out, telling the audience of about 20: “Excuse me, I’ve got to go as I’m so upset with this.” Jelana Stevic has been a vocal representative for her fellow residents in St Michael’s Gate, She, too, aired her feelings at Cllr Sims, telling him: “You can’t keep saying it’s Stef & Philips.","Fight for us. We voted for you, we want to hear your voice. Go against these people, you know in your heart it’s wrong.",0,0.3933,0.5402,9,143,3,1,False,False,True
throwing hamburger at a police horse,He threw a hamburger at a police horse before being lifted by local officers.,Celtic fan arrested for throwing a hamburger at a police horse in Piccadilly Gardens. Male started kicking about in the van! #nightinacell,0,0.6823,0.8824,6,39,1,0,False,False,True
I want to be parent that I never had,"“I want to be the parent that I never had,” Kristy said.","I want to be the parent that I never had,",0,0.9763,0.8303,9,65,0,0,True,False,False
Young people express themselves here,"Wild Geese: ‘Young people express themselves here’ Martin McKenna, country manager of Holidayguru website, Dortmund Martin McKenna: “I think we sell ourselves short in Ireland.","My experience of employment in Germany is that young people here are allowed to express themselves creatively,",0,0.5064,0.4966,5,59,6,1,False,True,False
We had decided release date long back,"""We had actually decided about the release date long back.","We had actually decided about the release date long back. First both the films ('Raaes' and 'Kaabil') were going to release on January 26, so we had decided with our exhibitors and distributors about coming out on January 25,",0,0.7445,0.9182,7,69,3,1,False,False,True
I want to have LeBron James come and visit me,"“I just want to have LeBron James come and visit me as my death wish,” he said.","I just want to have LeBron James come and visit me as my death wish,",0,0.8901,0.8348,10,67,5,1,False,False,True
I wanted to humiliate my victims in the most awful way,"""I JUST wanted to humiliate my victims in the most awful way I could think of"".",I JUST wanted to humiliate my victims in the most awful way I could think of,0,0.9712,0.9271,11,51,1,0,False,False,True
bit the bullet and went for it,"“I looked at the scoreboard and thought: ‘Would I rather get caught at slip defending or would I rather get caught going for my hundred?’ So I bit the bullet, went for it, and thankfully I connected and it went for four,” Jennings said after stumps.","I looked at the scoreboard and thought: ‘Would I rather get caught at slip defending or would I rather get caught going for my hundred?’ So I bit the bullet, went for it, and thankfully I connected and it went for four,",0,0.6312,0.624,7,108,2,0,False,False,True
not right thing to do,"""I do think that building a third runway slap bang in the middle of the western suburbs of the greatest city on Earth is not the right thing to do,"" Johnson said.","I do think that building a third runway slap bang in the middle of the western suburbs of the greatest city on Earth is not the right thing to do,",0,0.5021,0.521,5,122,6,1,False,True,False
We are ready to work with new administration,"We are ready to work with new administration' - Amos Frimpong By Edward Gyasi, GNA Accra, Nov.","The new CEO of the club Dr. Kwame Kyei visited us on Sunday and talked to us, the past administration has done their possible best for the club, there is a new administration and we are all ready to work with them to achieve great things for the club. We are united and always happy working as a team",0,0.5505,0.8302,8,46,1,0,False,False,True
I will still surf on the North Coast,"ROCK legend and former politician Peter Garrett won't be taking a dip on the North Coast during his coming tour, but new Greens MLC and surfer Justin Field said he would return to his favourite break at Broken Head when he visits the region next week to talk sharks.","The truth about the nets between Newcastle and Wollongong is, yes, there have been no fatalities. But there has been a lot of bites. Over 32 in the last 20 years on those netted beaches.",0,0.3173,0.5304,8,84,5,1,False,False,True
at least six options,"Assembly’s choice Mr Kenny said, however, there were “at least six different options that could be chosen, depending on the Citizens’ Assembly and what it wants to do”.","at least six different options that could be chosen, depending on the Citizens’ Assembly and what it wants to do",0,0.6836,0.6083,4,98,3,1,False,False,True
It is nice to be compared to Gerrard but I am not the same level,"“It is very nice to be compared to Steven Gerrard but I know I am not at the same level,” Can says with refreshing candour.","It is very nice to be compared to Steven Gerrard but I know I am not at the same level,",0,0.9485,0.8769,15,86,1,0,False,False,True
The heat from a toaster will heat the entire house,"McGuinness adds, “When a house is retrofitted – like this one – to an A-rated passive house standard, the heat from a toaster is enough to heat the entire house.","When a house is retrofitted – like this one – to an A-rated passive house standard, the heat from a toaster is enough to heat the entire house. There is a perception in Ireland that you can’t retrofit to an A rating. This house proves that is completely wrong.",0,0.5857,0.7771,10,57,5,1,False,False,True
"I do feel American, I like it when I see rugby growing in America","I feel a bit American.” With return visits from the Maori and the All Blacks, and as a pro league finds its feet, so does rugby.","and yeah, I do feel American, in a way. I still have an American passport and I like it when I see rugby growing in America.",0,0.9174,0.817,14,47,3,1,False,False,True
"The Buildings, the High-Rise, Are Not For Us.","""The buildings, the high-rise, are not for us,"" one man says, at around 5:00.","The buildings, the high-rise, are not for us,",0,0.9787,0.8459,8,65,0,0,True,False,False
(We) have to play our butts off,"“My comment to our guys is, ‘We’re going to have to play our butts off on defense because I know our offense is going to have to play their butts off.","My comment to our guys is, ‘We’re going to have to play our butts off on defense because I know our offense is going to have to play their butts off. Nothing’s going to come easy. This ain’t last week,’",0,0.703,0.7792,7,79,2,0,False,False,True
break from old regime,This will be a clean break with the old regime.,clean break from the old regime,0,0.9302,0.793,4,87,1,0,False,False,True
They were restaining her using cable ties,"“I wasn’t happy with how she was being treated - they were restraining her using cable ties and rope,” said the 47-year-old mum of four.","I wasn’t happy with how she was being treated - they were restraining her using cable ties and rope,",0,0.6493,0.5902,7,77,3,1,False,False,True
"When it is needed, Conor Murray goes up another level","“That’s what I know about Conor Murray, he steps up when it is needed, when everyone is looking at him he goes up another level.","That’s what I know about Conor Murray, he steps up when it is needed, when everyone is looking at him he goes up another level. Murray showed a lot of leadership on the pitch.",0,0.7974,0.8439,10,40,0,0,True,False,False
"She feared that she was going to die or pass out,","The caller reported “she feared that she was going to die or pass out.” Prior to calling 911, police said, the caller claimed Zimmerman accused her of stealing money.",she feared that she was going to die or pass out.,0,0.9942,0.6487,11,64,1,0,False,False,True
"Meningococcal, you hit my son like a wrecking ball","You hit my son yesterday like a wrecking ball but he came straight back at you like a d11 bulldozer,"" Mr Roberts wrote on Facebook on Friday night.","Meningococcal. You hit my son yesterday like a wrecking ball but he came straight back at you like a d11 bulldozer,",0,0.8945,0.6941,9,30,3,1,False,False,True
one of the biggest characters in mountain biking,Sam Bruce wrote: “RIP to one of the biggest characters in Scottish mountain biking.”,RIP to one of the biggest characters in Scottish mountain biking.,0,0.8856,0.704,8,23,5,1,False,False,True
We had sex almost daily,"“We had sex – almost daily – in his car, my car, his mom's house, and his dad's house,” the teaching temptress said, adding she wanted to end their illicit romps but the boy threatened to rat her out.","We had sex – almost daily – in his car, my car, his mom's house, and his dad's house,",0,0.6973,0.5652,5,86,3,1,False,False,True
cunning plan to have no plan,"Undeterred by Conservative MPs who interrupted with cries of “Marx!”, Corbyn said: “All I can come up with is Baldrick, who says: ‘Our cunning plan is to have no plan.’ “Brexit was apparently about taking back control.",Our cunning plan is to have no plan.,0,0.8833,0.5844,6,116,4,1,False,False,True
I spent my life keeping this to myself,"“I spent my whole life keeping this to myself, as I thought there was something wrong with me,” she told this newspaper.","I spent my whole life keeping this to myself, as I thought there was something wrong with me,",0,0.8494,0.7882,8,73,4,1,False,False,True
A firebrand hybrid of Bet Lynch and Liz Taylor,"Piers told how he first met her when he was a “fresh faced 20 year old working on the Bizarre column” in the late 1980’s and she was “one of the single most exciting things I had seen in my sheltered village life.” He remembered her love of high heels, fur coats and low-cut frocks, calling her “a glamorous firebrand hybrid of Bet Lynch and Liz Taylor”.",a glamorous firebrand hybrid of Bet Lynch and Liz Taylor,0,0.9674,0.4942,9,107,2,0,False,False,True
Nothing beats getting in touch with people,"“Nothing beats getting in touch with the people,” he said.","Nothing beats getting in touch with the people,",0,0.9611,0.8373,7,39,1,0,False,False,True
hold business to high standard,Clark said: “This government is unequivocally and unashamedly pro-business but we hold business to a high standard in doing so.” He noted that “executive pay has grown much faster over the last two decades than pay generally and at times is not in line with corporate performance”.,This government is unequivocally and unashamedly pro-business but we hold business to a high standard in doing so.,0,0.6254,0.4964,5,133,2,0,False,False,True
Success rate of campus recruitments alarmingly low,"The success rate of campus recruitments even at the institutes with pedigree is alarmingly low, sometimes even zero.","Hiring has become incredibly difficult. The success rate of campus recruitments even at the institutes with pedigree is alarmingly low, sometimes even zero. The entire exercise becomes too expensive with such outcomes,",0,0.7934,0.9206,7,48,0,0,True,False,False
"Obviously, there was a racial slur said during the game","Obviously there was a racial slur said during the game,” he said.","Several players came to me after the game about something that was said during the game. Obviously there was a racial slur said during the game,",0,0.8825,0.9609,10,69,1,0,False,False,True
Russian Propaganda Fake News,24 published a story on the work of four sets of researchers who have examined what they say are Russian propaganda efforts to undermine American democracy and interests.,"the prospect of legitimate dissenting voices being labelled fake news or Russian propaganda by mysterious groups of ex-government employees, with the help of a national newspaper, is even scarier.",0,0.7288,0.6927,4,73,6,1,False,True,False
raises risk of accidents,New traffic restrictions around a central Reading school “inevitably raises the risk of accidents” says a campaign group.,inevitably raises the risk of accidents,0,0.9551,0.7503,4,43,3,1,False,False,True
Many scientists are afraid to hurt their careers,"“Many young scientists are afraid to hurt their careers,” he said.","Many young scientists are afraid to hurt their careers,",0,0.9612,0.9257,8,46,3,1,False,False,True
Sometimes people want to try something to shake things up,"And he said that in times of stress, people are going to be looking for something.","Sometimes people just feel as if we want to try something and see if we can shake things up,",0,0.8628,0.5061,10,172,3,1,False,False,True
We can make this little corner store whole again.,"“I am sure that us, as loving neighbours, can help a bit by contributing some money so that we can make this little corner store whole again…make things right…make it so the robbers don’t win….","I am sure that us, as loving neighbours, can help a bit by contributing some money so that we can make this little corner store whole again…make things right…make it so the robbers don’t win…. and perhaps James and Linda can purchase a new surveillance camera to be installed as a safety measure,",0,0.5765,0.6141,9,104,0,0,True,False,False
If these services end my boys will for certain die,"“If these services end then my boys will for certain die once they become ill,” said Wiles.","If these services end then my boys will for certain die once they become ill,",0,0.945,0.8562,10,85,3,1,False,False,True
sword hanging over every newspaper,"“The current libel laws are a sword hanging over the head of every national newspaper in this country,” Mr Crowley said.",sword hanging over the head of every national newspaper in this country,0,0.8923,0.6426,5,67,2,0,False,False,True
you are a menace and a danger to other road users,He told Siemenczuk through an interpreter: “It is quite clear you are a menace and a danger to road users and to date there has been very little the court could to ensure the safety of road users”.,It is quite clear you are a menace and a danger to road users and to date there has been very little the court could to ensure the safety of road users,0,0.8159,0.6852,11,101,0,0,True,False,False
If we go Dover we might fit in booze run for Xmas,"But once we got ahead they haven’t got anything to hang on to so they had to commit more men forward and we’re not bad as a counter-attacking team – that probably suits us best.” City must wait until tomorrow to learn whether they will make the 170-mile round trip to Cambridge in the second round or fit in a 364-miles trek to Kent but Eaden, says he has no strong preference: “Cambridge is closer but if we go down to Dover we might be able to fit in a booze run for Christmas!”",Cambridge is closer but if we go down to Dover we might be able to fit in a booze run for Christmas!,0,0.8363,0.6203,12,132,0,0,True,False,False
returned to former glory,A 300-year-old building left empty for decades in the centre of Caernarfon could soon be “returned to its former glory”.,returned to its former glory,0,0.9465,0.5387,4,49,0,0,True,False,False
most damning report ever written,The report into the failings of the Metropolitan Police in child sexual abuse cases is the “most damning ever written” the government has admitted.,most damning ever written,0,0.8118,0.7706,5,59,3,1,False,False,True
I never permitted soldiers to rape,"""I never wrote, said or thought that IDF soldiers are permitted to rape women in war-time.” he wrote.","I never wrote, said or thought that IDF soldiers are permitted to rape women in war-time.",0,0.8037,0.81,6,56,0,0,True,False,False
four minute lake search,"According to Mr Egan’s family’s lawyers, an official probe found that Pc Helen Hardie, who visited the lake, could not find Mr Egan and made a four minute search of the scene before leaving.",She has basically shone a torch across the lake briefly and gone back to the warmth of her station. How on earth can anyone suggest a four minute search is enough?,0,0.6356,0.4727,4,67,4,1,False,False,True
"In the office, there are buttons everywhere","“I’ve worked in corporate environments, full of people in suits, and there are buttons everywhere you look.","I’ve worked in corporate environments, full of people in suits, and there are buttons everywhere you look. This situation is to me what other people may feel being locked in a burning building, or drowning and not be able to swim to the surface,",0,0.4312,0.6709,7,88,6,1,False,True,False
Millions in danger of not achieving their life goals,However ‘millions are in danger of not achieving their life goals and being unhappy’.,millions are in danger of not achieving their life goals and being unhappy,0,0.9736,0.9327,9,62,4,1,False,False,True
The first longing I had was for a bee,"“Well,” I said, “the first longing I ever had was for a bee.","The first longing I ever had was for a bee. I was 9 years old and I had a jamjar and thought that if I could get the bee inside, then my life would be perfect.",0,0.892,0.9572,9,105,0,0,True,False,False
left to die alone in sluice room,A premature baby was left to die in a sluice room at a failing NHS Trust hospital in Manchester.,[They] instead placed her in a moses basket and left her in the sluice room to die alone.,0,0.7637,0.5753,7,52,1,0,False,False,True
"Worst game I’ve ever been a part of,","“That was the worst game that I’ve ever been a part of special teams-wise,” DeCamillis said.","That was the worst game that I’ve ever been a part of special teams-wise,",0,0.8853,0.8295,8,45,6,1,False,True,False
,"“In the medium to longer term, especially if the union overcomes its present crises, it is likely that further integration – in some cases maybe among smaller groups – will be on the agenda, including in the areas of migration, counter-terrorism, security and defence and EMU [European monetary union].","very much in the mainstream in arguing that the crisis of faith in the union needs to be addressed through pragmatic and concrete responses to practical problems, instead of great treaty-based leaps forward",0,0.0732,0.1286,0,147,6,1,False,True,False
"Now I am disappointed in you,","""Very disappointed in you.""",I've never done what you just did to me ... I really hope you will apologize to me.,0,0.4362,0.8928,6,16,4,1,False,False,True
smacks of press intimidation,Times journalist Jerome Starkey has said his detention and subsequent deportation from Kenya “smacks of intimidation of the press”.,smacks of intimidation of the press,0,0.9741,0.7004,4,48,1,0,False,False,True
attempted to get her into room with him,"The victim said a man inside room 105, later identified at 31-year-old Erwin Solis, showed her the stolen items and ""attempted to get her into the room with him,"" authorities wrote in the report.","attempted to get her into the room with him,",0,0.9884,0.6742,8,72,1,0,False,False,True
I let go of my deep sadness,“It allowed me to let go of the deep sadness and guilt that I’d been carrying around since I was a child.,It allowed me to let go of the deep sadness and guilt that I’d been carrying around since I was a child. It was such a relief to be able to release it. I also let go of all the feelings around not having my dad around for much of my growing up.,0,0.7189,0.8045,7,60,1,0,False,False,True
sat on desk for too long,"A report into the possibility of a second Brighton Mainline has ‘sat on the desk for too long’, according to the Government’s Transport Secretary.",sat on the desk for too long,0,0.9942,0.593,6,52,2,0,False,False,True
I am here to take Leeds United to the Premier League,"I am really happy to be here and I am here to take Leeds to the Premier League or the play-offs.” Norwich City: McGovern, Martin, Bennett, Klose, Olsson, Dorrans, Thompson, Brady (Jacob Murphy 75), Hoolahan, Pritchard (Lafferty 84), Jerome.",I want to be here and make a permanent deal with Leeds. I’m still waiting for that so it’s up to the president to do it now! I am really happy to be here and I am here to take Leeds to the Premier League or the play-offs.,0,0.773,0.8262,11,62,6,1,False,True,False
live your life to full,The parents of a student who died in a Co Antrim road collision have told the young farmer responsible to “live your life to the full”.,live your life to the full,0,0.9782,0.5479,5,57,1,0,False,False,True
